policy,year,treated_states,coef,pvalue,is_nev
国务院关于印发“十四五”节能减排综合工作方案的通知,2022,"['Liaoning', 'Hunan', 'Hebei', 'Yunnan', 'Shanghai', 'Tianjin', 'Shandong', 'Beijing', 'Tibet', 'Inner Mongolia', 'Shaanxi', 'Guizhou', 'Henan', 'Shanxi', 'Fujian', 'Jiangxi', 'Sichuan']",-0.0235849376051703,0.5399411463511554,False
国务院关于印发《推动大规模设备更新和消费品以旧换新行动方案》的通知,2024,['Henan'],0.0864391655788818,0.5527567510479839,False
国务院办公厅关于加快构建废弃物循环利用体系的意见,2024,['Henan'],0.0864391655788818,0.5527567510479839,False
国务院办公厅关于对国务院第九次大督查发现的典型经验做法给予表扬的通报,2022,"['Liaoning', 'Beijing', 'Tibet', 'Shaanxi', 'Henan', 'Jiangxi']",0.0172592179363823,0.7219004212236217,False
国务院办公厅关于印发新能源汽车产业发展规划（2021—2035年）的通知,2020,"['Liaoning', 'Hunan', 'Hebei', 'Yunnan', 'Jilin', 'Jiangsu', 'Beijing', 'Inner Mongolia', 'Shaanxi', 'Guizhou', 'Henan', 'Jiangxi', 'Xinjiang', 'Sichuan']",0.0183126134738745,0.7229205618683954,True
国务院关于《中新天津生态城建设国家绿色发展示范区实施方案（2024—2035年）》的批复,2024,"['Hunan', 'Tianjin']",0.0305962345173497,0.769968463078753,False
国务院关于《北京城市副中心建设国家绿色发展示范区实施方案》的批复,2024,"['Hunan', 'Tianjin']",0.0305962345173497,0.769968463078753,False
国务院关于同意鄂尔多斯市建设国家可持续发展议程创新示范区的批复,2022,['Inner Mongolia'],-0.0313584928376428,0.772442715910195,False
国务院办公厅关于印发推进多式联运发展优化调整运输结构工作方案（2021—2025年）的通知,2022,"['Liaoning', 'Hunan', 'Hebei', 'Tianjin', 'Jiangsu', 'Beijing', 'Shaanxi', 'Guizhou', 'Jiangxi', 'Sichuan']",-0.0117351216185002,0.7746337468602811,False
国务院关于印发《2024—2025年节能降碳行动方案》的通知,2024,"['Hunan', 'Henan', 'Shanxi']",0.0143859977754509,0.8685928870610752,False
国务院办公厅关于转发国家发展改革委、住房城乡建设部《加快推动建筑领域节能降碳工作方案》的通知,2024,"['Hunan', 'Henan', 'Shanxi']",0.0143859977754509,0.8685928870610752,False
国务院办公厅关于对“十三五”时期实行最严格水资源管理制度成绩突出的省级人民政府给予表扬的通报,2021,"['Liaoning', 'Hunan', 'Hebei', 'Tianjin', 'Jiangsu', 'Beijing', 'Shaanxi', 'Henan', 'Qinghai', 'Jiangxi', 'Zhejiang', 'Sichuan']",0.0040464015700071,0.9227461926944314,False
排污许可管理条例,2021,"['Hebei', 'Tianjin', 'Beijing', 'Zhejiang', 'Sichuan']",0.0035308070060287,0.949053999407324,False
