policy,origin_time,treat_month,year,treated_states,coef,pvalue,is_nev
国务院关于印发“十四五”节能减排综合工作方案的通知,202201,2022-01,2022,"['Liaoning', 'Hunan', 'Hebei', 'Yunnan', 'Shanghai', 'Tianjin', 'Shandong', 'Beijing', 'Tibet', 'Inner Mongolia', 'Shaanxi', 'Guizhou', 'Henan', 'Shanxi', 'Fujian', 'Jiangxi', 'Sichuan']",-0.0056977961108898,0.6579663156370469,False
国务院办公厅关于加强草原保护修复的若干意见,202103,2021-03,2021,"['Liaoning', 'Hunan', 'Hebei', 'Yunnan', 'Guangdong', 'Jiangsu', 'Beijing', 'Heilongjiang', 'Tibet', 'Inner Mongolia', 'Qinghai', 'Jiangxi', 'Xinjiang', 'Zhejiang', 'Sichuan']",-0.0044501224305452,0.6609486462150782,False
国务院办公厅关于印发推进多式联运发展优化调整运输结构工作方案（2021—2025年）的通知,202201,2022-01,2022,"['Liaoning', 'Hunan', 'Hebei', 'Tianjin', 'Jiangsu', 'Beijing', 'Shaanxi', 'Guizhou', 'Jiangxi', 'Sichuan']",-0.004793576322815,0.7264492714862483,False
国务院办公厅关于科学绿化的指导意见,202106,2021-06,2021,"['Liaoning', 'Hunan', 'Hebei', 'Yunnan', 'Guangdong', 'Jiangsu', 'Shandong', 'Beijing', 'Heilongjiang', 'Tibet', 'Inner Mongolia', 'Qinghai', 'Jiangxi', 'Xinjiang', 'Zhejiang', 'Sichuan']",-0.0015284798072995,0.8001320396009665,False
排污许可管理条例,202101,2021-01,2021,"['Hebei', 'Tianjin', 'Beijing', 'Zhejiang', 'Sichuan']",-0.0018622781509646,0.902819709744622,False
国务院关于《北京城市副中心建设国家绿色发展示范区实施方案》的批复,202402,2024-02,2024,"['Hunan', 'Tianjin']",-0.0007265409911887,0.924474194423058,False
国务院关于《中新天津生态城建设国家绿色发展示范区实施方案（2024—2035年）》的批复,202408,2024-08,2024,"['Hunan', 'Tianjin']",0.0002937111660003,0.9623024203934356,False
国务院关于印发《深入实施以人为本的新型城镇化战略五年行动计划》的通知,202407,2024-07,2024,['Hunan'],0.0001999885012583,0.9832470649928996,False
国务院办公厅关于印发《加快构建碳排放双控制度体系工作方案》的通知,202408,2024-08,2024,"['Hunan', 'Henan']",-4.777253098905943e-05,0.993866224338111,False
国务院关于同意鄂尔多斯市建设国家可持续发展议程创新示范区的批复,202207,2022-07,2022,['Inner Mongolia'],2.9824776345880826e-05,0.9983253279090682,False
