policy,year,treated_states,coef,pvalue
国务院关于加快建立健全绿色低碳循环发展经济体系的指导意见,2021,"['Liaoning', 'Hunan', 'Hebei', 'Yunnan', 'Hainan', 'Tianjin', 'Jiangsu', 'Shandong', 'Beijing', 'Inner Mongolia', 'Shaanxi', 'Guizhou', 'Henan', 'Qinghai', 'Shanxi', 'Fujian', 'Jiangxi', 'Sichuan']",-0.07336798801360866,0.07330795633941167
排污许可管理条例,2021,"['Hebei', 'Tianjin', 'Beijing', 'Zhejiang', 'Sichuan']",0.003530807006028745,0.949053999407324
国务院办公厅关于印发新能源汽车产业发展规划（2021—2035年）的通知,2020,"['Liaoning', 'Hunan', 'Hebei', 'Yunnan', 'Jilin', 'Jiangsu', 'Beijing', 'Inner Mongolia', 'Shaanxi', 'Guizhou', 'Henan', 'Jiangxi', 'Xinjiang', 'Sichuan']",0.018312613473874587,0.7229205618683954
国务院办公厅关于印发自然资源领域中央与地方财政事权和支出责任划分改革方案的通知,2020,"['Hebei', 'Beijing', 'Jiangxi']",-0.05721187666099819,0.5102715004076748
国务院关于落实《政府工作报告》重点工作部门分工的意见,2020,"['Hebei', 'Tianjin', 'Beijing', 'Inner Mongolia', 'Shaanxi', 'Guizhou', 'Jiangxi', 'Sichuan']",-0.04194944730815277,0.4748537744545408
国务院办公厅关于调整国家能源委员会组成人员的通知,2020,['Yunnan'],0.11232077726955374,0.43969649386869936
国务院办公厅关于调整国家应对气候变化及节能减排工作领导小组组成人员的通知,2019,"['Hebei', 'Yunnan', 'Jilin', 'Beijing', 'Shaanxi']",0.12124215887762124,9.405174808467937e-06
国务院关于同意郴州市建设国家可持续发展议程创新示范区的批复,2019,['Hunan'],-0.15489958384395702,5.45839090536534e-09
国务院关于落实《政府工作报告》重点工作部门分工的意见,2019,"['Liaoning', 'Hebei', 'Beijing', 'Inner Mongolia', 'Shaanxi', 'Guizhou', 'Jiangxi']",0.2477904760738936,1.1173719423491433e-16
国务院办公厅关于修复贵州省生态环境问题的复函,2019,"['Hunan', 'Hebei', 'Yunnan', 'Hainan', 'Guangdong', 'Jiangsu', 'Heilongjiang', 'Tibet', 'Qinghai', 'Jiangxi', 'Xinjiang', 'Zhejiang', 'Sichuan']",0.09277470575068046,0.0006167187583306795
国务院办公厅关于印发“无废城市”建设试点工作方案的通知,2019,"['Hunan', 'Hebei', 'Hainan', 'Tianjin', 'Beijing', 'Tibet', 'Henan', 'Qinghai', 'Fujian', 'Sichuan']",0.06911746830677644,0.010046832183217145
