year,t,t2,covid,C0_share,C1_share,C2_share,C3_share,C4_share,C5_share,C6_share,yhat_log,yhat
2025,25,625,0,0.34263142666371366,0.13374084383665164,0.13046410018087123,0.10842167856316426,0.1580202188832607,0.11333893547460941,0.013382796397729243,2.385797589994251,10.86772719956274
2026,26,676,0,0.3328419573304646,0.12991967686989014,0.12673655446141774,0.1053239163185024,0.18207678405802466,0.11010068017533482,0.013000430786365546,2.374511301384989,10.745760464425793
2027,27,729,0,0.3230524879972157,0.12609850990312865,0.12300900874196427,0.10222615407384056,0.2061333492327886,0.10686242487606026,0.012618065175001853,2.3581754331263536,10.571645171409633
2028,28,784,0,0.3132630186639667,0.12227734293636718,0.11928146302251082,0.09912839182917872,0.2301899144075526,0.10362416957678572,0.012235699563638161,2.336789985218343,10.347966067872543
2029,29,841,0,0.3034735493307178,0.11845617596960573,0.11555391730305738,0.09603062958451691,0.2542464795823166,0.10038591427751119,0.011853333952274472,2.3103549576609574,10.078001283962992
2030,30,900,0,0.2936840799974688,0.11463500900284423,0.1118263715836039,0.09293286733985508,0.27830304475708056,0.09714765897823661,0.011470968340910779,2.278870350454197,9.76564242264706
2031,31,961,0,0.28389461066421995,0.11081384203608279,0.10809882586415046,0.08983510509519325,0.30235960993184463,0.09390940367896208,0.011088602729547087,2.242336163598063,9.415301298839418
2032,32,1024,0,0.27410514133097086,0.10699267506932128,0.10437128014469696,0.0867373428505314,0.32641617510660853,0.09067114837968752,0.010706237118183392,2.200752397092554,9.031806448528473
2033,33,1089,0,0.26431567199772193,0.1031715081025598,0.1006437344252435,0.08363958060586957,0.3504727402813725,0.08743289308041297,0.010323871506819701,2.1541190509376706,8.620292794151567
2034,34,1156,0,0.25452620266447296,0.09935034113579834,0.09691618870579004,0.08054181836120772,0.37452930545613644,0.0841946377811384,0.009941505895456008,2.1024361251334116,8.186087975932098
2035,35,1225,0,0.24473673333122398,0.09552917416903686,0.09318864298633658,0.07744405611654588,0.3985858706309004,0.08095638248186385,0.009559140284092315,2.045703619679779,7.734598839692537
2036,36,1296,0,0.23494726399797503,0.0917080072022754,0.08946109726688312,0.07434629387188404,0.42264243580566435,0.0777181271825893,0.009176774672728621,1.9839215345767716,7.271201416097953
2037,37,1369,0,0.22515779466472613,0.08788684023551394,0.08573355154742966,0.07124853162722222,0.4466990009804285,0.07447987188331476,0.00879440906136493,1.9170898698243894,6.801137447088541
2038,38,1444,0,0.21536832533147715,0.08406567326875246,0.08200600582797621,0.06815076938256039,0.47075556615519243,0.0712416165840402,0.008412043450001239,1.8452086254226323,6.3294201306187805
2039,39,1521,0,0.20557885599822814,0.08024450630199097,0.07827846010852273,0.06505300713789854,0.49481213132995633,0.06800336128476563,0.008029677838637544,1.7682778013715008,5.860751287161562
