feature,coef,abs_coef
C3_share,0.13495155619708574,0.13495155619708574
C0_share,-0.13364014135388214,0.13364014135388214
t,0.11546334473753048,0.11546334473753048
C6_share,0.10347397870852967,0.10347397870852967
C1_share,0.09869858533606458,0.09869858533606458
C4_share,0.07369485068896613,0.07369485068896613
C2_share,0.03492564110105802,0.03492564110105802
C5_share,0.03135018636985092,0.03135018636985092
t2,-0.0025247898246873045,0.0025247898246873045
covid,0.0,0.0
