year,t,t2,covid,C0_share,C1_share,C2_share,C3_share,C4_share,C5_share,C6_share,yhat_log,yhat
2025,25,625,0,0.34263142666371366,0.13374084383665164,0.13046410018087123,0.10842167856316426,0.1580202188832607,0.11333893547460941,0.013382796397729243,2.385797589994251,10.86772719956274
2026,26,676,0,0.3328419573304647,0.12991967686989017,0.12673655446141777,0.10532391631850242,0.1535053554865961,0.11010068017533485,0.041571859357794116,2.3753621336141193,10.754907194369967
2027,27,729,0,0.3230524879972157,0.12609850990312865,0.12300900874196427,0.10222615407384056,0.14899049208993148,0.10686242487606026,0.06976092231785898,2.359877097584614,10.589649878903947
2028,28,784,0,0.3132630186639667,0.12227734293636718,0.11928146302251082,0.09912839182917872,0.1444756286932669,0.10362416957678572,0.09794998527792385,2.339342481905734,10.374412955419466
2029,29,841,0,0.3034735493307178,0.11845617596960573,0.11555391730305738,0.09603062958451691,0.13996076529660234,0.10038591427751119,0.12613904823798874,2.3137582865774786,10.11235846839081
2030,30,900,0,0.2936840799974688,0.11463500900284423,0.1118263715836039,0.09293286733985508,0.13544590189993774,0.09714765897823661,0.1543281111980536,2.283124511599849,9.807275533395616
2031,31,961,0,0.2838946106642199,0.11081384203608277,0.10809882586415044,0.08983510509519324,0.13093103850327314,0.09390940367896207,0.18251717415811852,2.247441156972845,9.463489244511317
2032,32,1024,0,0.27410514133097086,0.10699267506932128,0.10437128014469696,0.0867373428505314,0.12641617510660855,0.09067114837968752,0.21070623711818334,2.2067082226964665,9.085758818595242
2033,33,1089,0,0.26431567199772193,0.1031715081025598,0.1006437344252435,0.08363958060586957,0.12190131170994395,0.08743289308041297,0.23889530007824822,2.1609257087707134,8.679168323100821
2034,34,1156,0,0.25452620266447296,0.09935034113579834,0.09691618870579004,0.08054181836120772,0.11738644831327935,0.0841946377811384,0.26708436303831307,2.110093615195585,8.249013481491872
2035,35,1225,0,0.24473673333122403,0.09552917416903689,0.0931886429863366,0.0774440561165459,0.1128715849166148,0.08095638248186386,0.295273425998378,2.054211941971083,7.80068805489481
2036,36,1296,0,0.23494726399797503,0.0917080072022754,0.08946109726688312,0.07434629387188404,0.10835672151995017,0.0777181271825893,0.3234624889584429,1.9932806890972057,7.339573165506622
