year,t,t2,covid,C0_share,C1_share,C2_share,C3_share,C4_share,C5_share,C6_share,yhat_log,yhat
2025,25,625,0,0.34263142666371366,0.13374084383665164,0.13046410018087123,0.10842167856316426,0.1580202188832607,0.11333893547460941,0.013382796397729243,2.385797589994251,10.86772719956274
2026,26,676,0,0.3328419573304647,0.12991967686989017,0.12673655446141777,0.10532391631850242,0.1535053554865961,0.13867210874676342,0.01300043078636555,2.3733014538330144,10.732767593715051
2027,27,729,0,0.32305248799721575,0.12609850990312868,0.1230090087419643,0.10222615407384059,0.1489904920899315,0.16400528201891743,0.012618065175001856,2.3557557380224043,10.546095936492739
2028,28,784,0,0.3132630186639668,0.1222773429363672,0.11928146302251084,0.09912839182917875,0.14447562869326694,0.18933845529107146,0.012235699563638165,2.3331604425624186,10.310475761117704
2029,29,841,0,0.3034735493307178,0.11845617596960573,0.11555391730305738,0.09603062958451691,0.13996076529660234,0.21467162856322547,0.011853333952274472,2.3055155674530585,10.029347724966946
2030,30,900,0,0.2936840799974688,0.11463500900284423,0.1118263715836039,0.09293286733985508,0.13544590189993774,0.24000480183537942,0.011470968340910779,2.2728211126943236,9.706746048440783
2031,31,961,0,0.28389461066421995,0.11081384203608279,0.10809882586415046,0.08983510509519325,0.13093103850327317,0.26533797510753354,0.011088602729547087,2.235077078286215,9.347202290764667
2032,32,1024,0,0.27410514133097086,0.10699267506932128,0.10437128014469696,0.0867373428505314,0.12641617510660855,0.2906711483796875,0.010706237118183392,2.1922834642287308,8.955639666997303
2033,33,1089,0,0.26431567199772193,0.1031715081025598,0.1006437344252435,0.08363958060586957,0.12190131170994395,0.3160043216518415,0.010323871506819701,2.144440270521873,8.537261342858905
2034,34,1156,0,0.25452620266447296,0.09935034113579834,0.09691618870579004,0.08054181836120772,0.11738644831327935,0.3413374949239955,0.009941505895456008,2.091547497165639,8.097436233266887
2035,35,1225,0,0.24473673333122403,0.09552917416903689,0.0931886429863366,0.0774440561165459,0.1128715849166148,0.3666706681961496,0.009559140284092316,2.033605144160032,7.641585777650679
2036,36,1296,0,0.23494726399797503,0.0917080072022754,0.08946109726688312,0.07434629387188404,0.10835672151995017,0.39200384146830347,0.009176774672728621,1.9706132115050494,7.175074978132696
2037,37,1369,0,0.22515779466472613,0.08788684023551394,0.08573355154742966,0.07124853162722222,0.1038418581232856,0.4173370147404576,0.00879440906136493,1.9025716992006927,6.703110679675876
2038,38,1444,0,0.21536832533147715,0.08406567326875246,0.08200600582797621,0.06815076938256039,0.09932699472662102,0.44267018801261165,0.008412043450001239,1.829480607246961,6.230649663679615
