year,t,t2,covid,C0_share,C1_share,C2_share,C3_share,C4_share,C5_share,C6_share,yhat_log,yhat
2025,25,625,0,0.34263142666371366,0.13374084383665164,0.13046410018087123,0.10842167856316426,0.1580202188832607,0.11333893547460941,0.013382796397729243,2.385797589994251,10.86772719956274
2026,26,676,0,0.3328419573304646,0.12991967686989014,0.15530798303284632,0.1053239163185024,0.15350535548659608,0.11010068017533482,0.013000430786365546,2.3734036096824775,10.733864064710188
2027,27,729,0,0.3230524879972157,0.12609850990312865,0.1801518658848214,0.10222615407384056,0.14899049208993148,0.10686242487606026,0.012618065175001853,2.35596004972133,10.548250847399817
2028,28,784,0,0.3132630186639667,0.12227734293636718,0.2049957487367965,0.09912839182917872,0.1444756286932669,0.10362416957678572,0.012235699563638161,2.3334669101108076,10.313636071588505
2029,29,841,0,0.3034735493307178,0.11845617596960573,0.22983963158877166,0.09603062958451691,0.13996076529660234,0.10038591427751119,0.011853333952274472,2.3059241908509107,10.033446788542172
2030,30,900,0,0.2936840799974688,0.11463500900284423,0.2546835144407467,0.09293286733985508,0.13544590189993774,0.09714765897823661,0.011470968340910779,2.273331891941639,9.711705319319789
2031,31,961,0,0.2838946106642199,0.11081384203608277,0.27952739729272186,0.08983510509519324,0.13093103850327314,0.09390940367896207,0.011088602729547085,2.235690013382993,9.352933275286714
2032,32,1024,0,0.27410514133097086,0.10699267506932128,0.30437128014469694,0.0867373428505314,0.12641617510660855,0.09067114837968752,0.010706237118183392,2.192998555174973,8.962046054142707
2033,33,1089,0,0.26431567199772193,0.1031715081025598,0.32921516299667203,0.08363958060586957,0.12190131170994395,0.08743289308041297,0.010323871506819701,2.145257517317577,8.544241244097922
2034,34,1156,0,0.25452620266447296,0.09935034113579834,0.3540590458486471,0.08054181836120772,0.11738644831327935,0.0841946377811384,0.009941505895456008,2.0924668998108067,8.104884460994299
2035,35,1225,0,0.24473673333122403,0.09552917416903689,0.3789029287006223,0.0774440561165459,0.1128715849166148,0.08095638248186386,0.009559140284092316,2.0346267026546627,7.64939609318215
2036,36,1296,0,0.23494726399797503,0.0917080072022754,0.4037468115525973,0.07434629387188404,0.10835672151995017,0.0777181271825893,0.009176774672728621,1.9717369258491433,7.1831422446082
2037,37,1369,0,0.22515779466472613,0.08788684023551394,0.42859069440457254,0.07124853162722222,0.1038418581232856,0.07447987188331476,0.00879440906136493,1.9037975693942493,6.711332861896595
2038,38,1444,0,0.21536832533147715,0.08406567326875246,0.4534345772565477,0.06815076938256039,0.09932699472662102,0.0712416165840402,0.008412043450001239,1.8308086332899807,6.238929625483454
2039,39,1521,0,0.2055788559982282,0.08024450630199098,0.47827846010852276,0.06505300713789855,0.09481213132995642,0.06800336128476564,0.008029677838637546,1.7527701175363377,5.770565701313603
2040,40,1600,0,0.19578938666497922,0.0764233393352295,0.5031223429604978,0.06195524489323671,0.09029726793329182,0.06476510598549108,0.007647312227273852,1.6696820221333202,5.310478913925552
2041,41,1681,0,0.18599991733173027,0.07260217236846803,0.5279662258124729,0.05885748264857488,0.08578240453662724,0.06152685068621653,0.007264946615910159,1.581544347080928,4.862459340608061
2042,42,1764,0,0.1762104479984813,0.06878100540170655,0.552810108664448,0.05575972040391304,0.08126754113996264,0.05828859538694198,0.006882581004546467,1.4883570923791611,4.429811765866198
2043,43,1849,0,0.16642097866523237,0.06495983843494509,0.5776539915164232,0.05266195815925122,0.07675267774329807,0.05505034008766743,0.0065002153931827756,1.39012025802802,4.015332899976903
2044,44,1936,0,0.15663150933198342,0.061138671468183615,0.6024978743683983,0.04956419591458939,0.07223781434663348,0.05181208478839289,0.006117849781819083,1.286833844027504,3.6213027762143977
2045,45,2025,0,0.1468420399987344,0.05731750450142212,0.6273417572203732,0.04646643366992754,0.06772295094996887,0.04857382948911831,0.005735484170455389,1.178497850377612,3.249489315743925
2046,46,2116,0,0.13705257066548546,0.053496337534660654,0.6521856400723485,0.04336867142526571,0.06320808755330429,0.04533557418984377,0.005353118559091697,1.0651122770783479,2.901164700070401
2047,47,2209,0,0.1272631013322365,0.049675170567899184,0.6770295229243236,0.040270909180603866,0.05869322415663969,0.04209731889056921,0.004970752947728005,0.9466771241297077,2.5771319263448675
2048,48,2304,0,0.11747363199898754,0.045854003601137706,0.7018734057762988,0.03717314693594203,0.0541783607599751,0.03885906359129466,0.004588387336364312,0.8231923915316934,2.2777597440528092
2049,49,2401,0,0.10768416266573858,0.04203283663437623,0.7267172886282738,0.03407538469128019,0.04966349736331051,0.0356208082920201,0.004206021725000619,0.6946580792843045,2.0030240814138085
2050,50,2500,0,0.09789469333248961,0.03821166966761475,0.7515611714802489,0.030977622446618357,0.04514863396664591,0.03238255299274554,0.003823656113636926,0.56107418738754,1.7525540610091013
2051,51,2601,0,0.08810522399924064,0.034390502700853275,0.7764050543322241,0.02787986020195652,0.04063377056998132,0.02914429769347099,0.0034412905022732335,0.4224407158414023,1.5256807682216884
2052,52,2704,0,0.07831575466599168,0.030569335734091797,0.8012489371841992,0.024782097957294684,0.03611890717331673,0.025906042394196433,0.0030589248909095408,0.2787576646458887,1.3214870620281698
2053,53,2809,0,0.06852628533274271,0.02674816876733032,0.8260928200361742,0.021684335712632848,0.03160404377665214,0.022667787094921878,0.002676559279545848,0.1300250338010016,1.1388568928845948
2054,54,2916,0,0.05873681599949375,0.022927001800568843,0.8509367028881494,0.01858657346797101,0.027089180379987542,0.019429531795647322,0.002294193668182155,-0.023757176693260273,0.9765228034670497
2055,55,3025,0,0.048947346666244826,0.019105834833807383,0.8757805857401244,0.015488811223309185,0.022574316983322965,0.016191276496372777,0.001911828056818464,-0.18258896683689807,0.8331105214232795
2056,56,3136,0,0.03915787733299586,0.015284667867045906,0.9006244685920995,0.012391048978647347,0.01805945358665837,0.012953021197098222,0.001529462445454771,-0.34647033662990845,0.7071797963121644
2057,57,3249,0,0.029368407999746896,0.01146350090028443,0.9254683514440747,0.00929328673398551,0.01354459018999378,0.009714765897823666,0.0011470968340910783,-0.515401286072295,0.5972608740529082
2058,58,3364,0,0.01957893866649793,0.007642333933522953,0.9503122342960497,0.006195524489323674,0.009029726793329185,0.006476510598549111,0.0007647312227273855,-0.6893818151640554,0.501886231645049
2059,59,3481,0,0.009789469333248965,0.0038211669667614764,0.9751561171480249,0.003097762244661837,0.004514863396664593,0.0032382552992745554,0.00038236561136369276,-0.8684119239051906,0.4196174047625556
2060,60,3600,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0524916122957007,0.3490669252409871
