state_en,0,1,2,3,4,5,6,growth_2019_2024,ClusterType,PC1,PC2
Anhui,0.0,0.0,0.75,0.0,0.0,0.25,0.0,9.022978594350503,2,-1.3341290832081374,-2.375967464701764
Beijing,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,-6.538770931016067,4,-0.4676699938148999,-0.0009968476116971
Chongqing,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.836738845200534,1,2.427639712258775,-1.393146988421932
Fujian,0.0,0.1428571428571428,0.0,0.0,0.2857142857142857,0.5714285714285714,0.0,14.982622015144676,1,1.6212060460604865,0.9716396072308312
Guangdong,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,10.478967202949566,4,0.755742469829036,-1.8299560889907456
Guizhou,0.2,0.0,0.0,0.2,0.2,0.2,0.2,-14.099836042061971,5,-2.016440759210172,1.1714519815551805
Hainan,0.0,0.0,0.1666666666666666,0.0,0.3333333333333333,0.5,0.0,14.002997391694768,4,0.3682786273999697,0.2174077026727095
Hebei,0.0,0.1052631578947368,0.3684210526315789,0.1052631578947368,0.1578947368421052,0.2631578947368421,0.0,-9.961701636490917,4,-0.076319609453532,-0.2028623760365339
Heilongjiang,0.0,0.0,0.5,0.0,0.25,0.0,0.25,-2.9372336689345966,6,-3.5218516336232413,0.4686593672183387
Henan,0.0,0.0,0.0625,0.0,0.375,0.5,0.0625,-5.801244824504851,4,0.106798424077657,0.8688555956376462
Hunan,0.0,0.1,0.2,0.0,0.5,0.2,0.0,0.7834527027137371,0,-0.2410734168174113,1.6461814854348575
Inner Mongolia,0.1818181818181818,0.0909090909090909,0.0909090909090909,0.0,0.2727272727272727,0.3636363636363636,0.0,31.766176379810755,0,0.0282711165556711,0.6133550213559884
Jiangsu,0.0,0.0,0.3571428571428571,0.0714285714285714,0.3571428571428571,0.2142857142857142,0.0,7.209843526327924,4,-0.8475332258796295,0.2473090243128236
Jiangxi,0.0,0.0,0.625,0.0,0.0,0.375,0.0,1.8964483649850363,2,-0.7071676172969851,-2.2121640519884576
Jilin,0.1,0.0,0.0,0.1,0.3,0.5,0.0,-5.436295009135158,4,0.4811864521397221,0.5284078112103712
Liaoning,0.0,0.0,0.1,0.0,0.4,0.5,0.0,-8.185191968715602,4,0.4579755831571301,0.6705613710622822
Ningxia,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,12.186954831397848,4,1.2042272486148384,0.4358122529571167
Qinghai,0.0,0.0,0.5,0.0,0.3333333333333333,0.1666666666666666,0.0,-5.199122903128938,4,-1.3036186150297686,-0.2194013978961041
Shaanxi,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,20.142714071371575,3,0.3966354010039887,1.1305229416681355
Shandong,0.0,0.25,0.0,0.0,0.5,0.25,0.0,-2.631860881491458,0,1.0163807964117717,2.7452295539704035
Shanghai,0.0,0.0,0.0,0.5,0.0,0.5,0.0,-5.0698067573795615,3,1.216251940842499,-0.351080955355403
Shanxi,0.0,0.125,0.0,0.0,0.0,0.875,0.0,9.174465725797075,1,2.6395696020682236,-0.6956781482600501
Sichuan,0.0,0.0,0.5,0.0,0.1666666666666666,0.3333333333333333,0.0,17.73577528283911,4,-0.691912383207801,-1.133881018585628
Tianjin,0.0,0.0,0.1666666666666666,0.0833333333333333,0.3333333333333333,0.4166666666666667,0.0,-5.6897584667815995,4,0.1663806654972573,0.3910853748504643
Tibet,0.0,0.0,0.25,0.0,0.25,0.5,0.0,1.8498782733475712,4,0.2561574327035189,-0.3490343828142558
Xinjiang,0.25,0.0,0.5,0.0,0.0,0.25,0.0,19.90777731515768,2,-1.5879673727764714,-1.8806649498305177
Yunnan,0.0,0.0,0.2727272727272727,0.0,0.3636363636363636,0.1818181818181818,0.1818181818181818,12.628760957105357,6,-2.1106069987985454,1.0776378838601492
Zhejiang,0.0,0.2,0.2,0.0,0.0,0.6,0.0,8.977024801674593,1,1.7635891904960506,-0.5392823045042098
