state_en,2019,2024,reduction_pct,ClusterType
Anhui,1.0401976547740308,0.8253753566405665,20.652065225058752,2.0
Beijing,0.3471391797970554,0.230720746903784,33.53652934287968,4.0
Chongqing,0.4785316801358312,0.4064536618292061,15.062329475483368,1.0
Fujian,0.5499310429285805,0.4633604041481276,15.742089829923607,1.0
Gansu,1.8722652212013813,1.3892548372286184,25.798181716094064,
Guangdong,0.4049597863889441,0.3411110211263131,15.766692745463724,4.0
Guangxi,0.9068038936504632,0.9012337707595972,0.6142588193399591,
Guizhou,1.5066783857981292,0.9574906912882548,36.450227180962344,5.0
Hainan,0.9441523741661728,0.7230507250400091,23.41800488733922,4.0
Hebei,2.9092402414336784,1.9278319756180184,33.73417746112368,4.0
Heilongjiang,1.496961037120056,1.1943961326463108,20.21194252696369,6.0
Henan,0.8522165937329841,0.678147458688473,20.42545713432215,4.0
Hubei,0.9160603159966684,0.7175450576375119,21.670544492823375,
Hunan,0.5129946717237168,0.3874775716969435,24.46752509241908,0.0
Inner Mongolia,3.229466402091965,2.7834450483001834,13.81099222778291,0.0
Jiangsu,0.7618982158549606,0.5881834560011093,22.800258123576008,4.0
Jiangxi,0.8158173139003109,0.5995363959067319,26.51094973206312,2.0
Jilin,1.6050255303654355,1.2393556557251484,22.782807358648732,4.0
Liaoning,1.9937858217133917,1.3951560567508976,30.024777909597734,4.0
Ningxia,4.303411511145851,3.2887185385621867,23.57880416398956,4.0
Qinghai,2.804470972401201,1.9791723762275992,29.427960007265735,4.0
Shaanxi,1.1212634605207503,0.9777032739428456,12.803430383010143,3.0
Shandong,1.384044176861286,0.9644483662690304,30.316648674019092,0.0
Shanghai,0.3567411372673415,0.2385585560028706,33.12838608122309,3.0
Shanxi,2.8296957673829315,2.055313087779029,27.366287518608303,1.0
Sichuan,0.5010284925184006,0.4227321558959457,15.627122567201996,4.0
Tianjin,1.5109271133068571,1.1111918002918282,26.456293589182945,4.0
Tibet,1.7978745770458586,1.1244292183804117,37.45786092442584,4.0
Xinjiang,2.482350090423626,1.9709759355900671,20.60040430261352,2.0
Yunnan,0.928657750337478,0.7702946849537485,17.052898694506087,6.0
Zhejiang,0.5757622703663461,0.4348322067089312,24.477127264303693,1.0
