year,t,t2,covid,C0_share,C1_share,C2_share,C3_share,C4_share,C5_share,C6_share,yhat_log,yhat
2025,25,625,0,0.3426314266637136,0.1337408438366516,0.1304641001808712,0.1084216785631642,0.1580202188832607,0.1133389354746094,0.0133827963977292,2.385797589994251,10.86772719956274
2026,26,676,0,0.3328419573304646,0.1584911054413187,0.1267365544614177,0.1053239163185024,0.153505355486596,0.1101006801753348,0.0130004307863655,2.3752256938034777,10.753439896970065
2027,27,729,0,0.3230524879972157,0.1832413670459858,0.1230090087419642,0.1022261540738405,0.1489904920899314,0.1068624248760602,0.0126180651750018,2.3596042179633305,10.586760573489675
2028,28,784,0,0.3132630186639667,0.2079916286506528,0.1192814630225108,0.0991283918291787,0.1444756286932669,0.1036241695767857,0.0122356995636381,2.338933162473809,10.37016737556044
2029,29,841,0,0.3034735493307178,0.23274189025532,0.1155539173030573,0.0960306295845169,0.1399607652966023,0.1003859142775111,0.0118533339522744,2.3132125273349113,10.106841061017516
2030,30,900,0,0.2936840799974688,0.257492151859987,0.1118263715836039,0.092932867339855,0.1354459018999377,0.0971476589782366,0.0114709683409107,2.28244231254664,9.800587300924487
2031,31,961,0,0.2838946106642199,0.2822424134646542,0.1080988258641504,0.0898351050951932,0.1309310385032731,0.093909403678962,0.011088602729547,2.2466225181089943,9.455745234634332
2032,32,1024,0,0.2741051413309708,0.3069926750693212,0.1043712801446969,0.0867373428505314,0.1264161751066085,0.0906711483796875,0.0107062371181833,2.2057531440219735,9.077085346689351
2033,33,1089,0,0.2643156719977219,0.3317429366739883,0.1006437344252435,0.0836395806058695,0.1219013117099439,0.0874328930804129,0.0103238715068197,2.159834190285579,8.669700018795204
2034,34,1156,0,0.2545262026644729,0.3564931982786554,0.09691618870579,0.0805418183612077,0.1173864483132793,0.0841946377811384,0.009941505895456,2.1088656568998085,8.23889025367814
2035,35,1225,0,0.244736733331224,0.3812434598833226,0.0931886429863366,0.0774440561165459,0.1128715849166148,0.0809563824818638,0.0095591402840923,2.0528475438646643,7.790052068393849
2036,36,1296,0,0.234947263997975,0.4059937214879895,0.0894610972668831,0.074346293871884,0.1083567215199501,0.0777181271825893,0.0091767746727286,1.9917798511801457,7.328565917918229
2037,37,1369,0,0.225157794664726,0.4307439830926567,0.0857335515474296,0.0712485316272222,0.1038418581232855,0.0744798718833147,0.0087944090613649,1.9256625788462516,6.859692247467406
2038,38,1444,0,0.2153683253314771,0.4554942446973239,0.0820060058279762,0.0681507693825603,0.099326994726621,0.0712416165840402,0.0084120434500012,1.8544957268629831,6.388475901433545
2039,39,1521,0,0.2055788559982282,0.480244506301991,0.0782784601085227,0.0650530071378985,0.0948121313299564,0.0680033612847656,0.0080296778386375,1.7782792952303403,5.919661659968581
2040,40,1600,0,0.1957893866649792,0.5049947679066581,0.0745509143890692,0.0619552448932367,0.0902972679332918,0.064765105985491,0.0076473122272738,1.697013283948323,5.457622655996777
2041,41,1681,0,0.1859999173317302,0.5297450295113251,0.0708233686696158,0.0588574826485748,0.0857824045366272,0.0615268506862165,0.0072649466159101,1.6106976930169314,5.006302872198582
2042,42,1764,0,0.1762104479984813,0.5544952911159923,0.0670958229501623,0.055759720403913,0.0812675411399626,0.0582885953869419,0.0068825810045464,1.5193325224361642,4.5691743557043045
2043,43,1849,0,0.1664209786652323,0.5792455527206594,0.0633682772307089,0.0526619581592512,0.076752677743298,0.0550503400876674,0.0065002153931827,1.422917772206023,4.149209242894711
2044,44,1936,0,0.1566315093319834,0.6039958143253265,0.0596407315112554,0.0495641959145893,0.0722378143466334,0.0518120847883928,0.006117849781819,1.3214534423265074,3.748866180231565
2045,45,2025,0,0.1468420399987344,0.6287460759299934,0.0559131857918019,0.0464664336699275,0.0677229509499688,0.0485738294891183,0.0057354841704553,1.214939532797616,3.3700902782295756
2046,46,2116,0,0.1370525706654854,0.6534963375346606,0.0521856400723484,0.0433686714252657,0.0632080875533042,0.0453355741898437,0.0053531185590916,1.1033760436193516,3.01432535901282
2047,47,2209,0,0.1272631013322365,0.6782465991393277,0.048458094352895,0.0402709091806038,0.0586932241566396,0.0420973188905692,0.004970752947728,0.9867629747917112,2.68253696314374
2048,48,2304,0,0.1174736319989875,0.7029968607439948,0.0447305486334415,0.037173146935942,0.0541783607599751,0.0388590635912946,0.0045883873363643,0.8651003263146984,2.3752443735381608
2049,49,2401,0,0.1076841626657385,0.7277471223486619,0.0410030029139881,0.0340753846912801,0.0496634973633105,0.0356208082920201,0.0042060217250006,0.7383880981883091,2.0925597936375535
2050,50,2500,0,0.0978946933324896,0.7524973839533291,0.0372754571945346,0.0309776224466183,0.0451486339666459,0.0323825529927455,0.0038236561136369,0.6066262904125443,1.8342327797760432
2051,51,2601,0,0.0881052239992406,0.7772476455579962,0.0335479114750811,0.0278798602019565,0.0406337705699813,0.0291442976934709,0.0034412905022732,0.4698149029874072,1.5996980664789626
2052,52,2704,0,0.0783157546659916,0.8019979071626631,0.0298203657556277,0.0247820979572946,0.0361189071733167,0.0259060423941964,0.0030589248909095,0.3279539359128933,1.3881250281044488
