year,t,t2,covid,C0_share,C1_share,C2_share,C3_share,C4_share,C5_share,C6_share,yhat_log,yhat
2038,38,1444,0,0.5867968967600485,0.0840656732687524,0.0820060058279762,0.0681507693825603,0.099326994726621,0.0712416165840402,0.0084120434500012,1.768198485521003,5.860286455123181
2039,39,1521,0,0.6055788559982282,0.0802445063019909,0.0782784601085227,0.0650530071378985,0.0948121313299564,0.0680033612847656,0.0080296778386375,1.6853438045543616,5.394305200273835
2040,40,1600,0,0.6243608152364077,0.0764233393352295,0.0745509143890692,0.0619552448932367,0.0902972679332918,0.064765105985491,0.0076473122272738,1.5974395439383458,4.940366624532199
2041,41,1681,0,0.6431427744745873,0.072602172368468,0.0708233686696158,0.0588574826485748,0.0857824045366272,0.0615268506862165,0.0072649466159101,1.5044857036729558,4.5018377561938
2042,42,1764,0,0.661924733712767,0.0687810054017065,0.0670958229501623,0.055759720403913,0.0812675411399626,0.0582885953869419,0.0068825810045464,1.40648228375819,4.081572307877848
2043,43,1849,0,0.6807066929509465,0.064959838434945,0.0633682772307088,0.0526619581592512,0.076752677743298,0.0550503400876674,0.0065002153931827,1.3034292841940502,3.681901328814942
2044,44,1936,0,0.6994886521891261,0.0611386714681836,0.0596407315112554,0.0495641959145893,0.0722378143466334,0.0518120847883928,0.006117849781819,1.1953267049805365,3.3046372356024944
2045,45,2025,0,0.7182706114273057,0.0573175045014221,0.0559131857918019,0.0464664336699275,0.0677229509499688,0.0485738294891183,0.0057354841704553,1.0821745461176464,2.951089859780962
2046,46,2116,0,0.7370525706654855,0.0534963375346606,0.0521856400723484,0.0433686714252657,0.0632080875533042,0.0453355741898437,0.0053531185590916,0.9639728076053836,2.622092878820861
2047,47,2209,0,0.7558345299036651,0.0496751705678991,0.048458094352895,0.0402709091806038,0.0586932241566396,0.0420973188905692,0.004970752947728,0.8407214894437446,2.3180388141366572
2048,48,2304,0,0.7746164891418447,0.0458540036011377,0.0447305486334415,0.037173146935942,0.0541783607599751,0.0388590635912946,0.0045883873363643,0.7124205916327333,2.038920684525101
2049,49,2401,0,0.7933984483800243,0.0420328366343762,0.0410030029139881,0.0340753846912801,0.0496634973633105,0.0356208082920201,0.0042060217250006,0.5790701141723456,1.78437839086907
2050,50,2500,0,0.8121804076182039,0.0382116696676147,0.0372754571945346,0.0309776224466183,0.0451486339666459,0.0323825529927455,0.0038236561136369,0.4406700570625823,1.5537479695915886
2051,51,2601,0,0.8309623668563835,0.0343905027008532,0.0335479114750811,0.0278798602019565,0.0406337705699813,0.0291442976934709,0.0034412905022732,0.2972204203034467,1.3461119771604797
2052,52,2704,0,0.849744326094563,0.0305693357340917,0.0298203657556277,0.0247820979572946,0.0361189071733167,0.0259060423941964,0.0030589248909095,0.1487212038949343,1.1603494432042178
2053,53,2809,0,0.8685262853327428,0.0267481687673303,0.0260928200361742,0.0216843357126328,0.0316040437766521,0.0226677870949218,0.0026765592795458,-0.0048275921629505,0.9951840419310124
2054,54,2916,0,0.8873082445709224,0.0229270018005688,0.0223652743167207,0.018586573467971,0.0270891803799875,0.0194295317956473,0.0022941936681821,-0.1634259678702103,0.8492293669331458
2055,55,3025,0,0.906090203809102,0.0191058348338073,0.0186377285972673,0.0154888112233091,0.0225743169833229,0.0161912764963727,0.0019118280568184,-0.3270739232268469,0.7210304401596799
2056,56,3136,0,0.9248721630472816,0.0152846678670459,0.0149101828778138,0.0123910489786473,0.0180594535866583,0.0129530211970982,0.0015294624454547,-0.495771458232856,0.6091008301471232
2057,57,3249,0,0.943654122285461,0.0114635009002844,0.0111826371583603,0.0092932867339855,0.0135445901899937,0.0097147658978236,0.001147096834091,-0.6695185728882405,0.5119549874786028
2058,58,3364,0,0.9624360815236408,0.0076423339335229,0.0074550914389069,0.0061955244893236,0.0090297267933291,0.0064765105985491,0.0007647312227273,-0.8483152671929988,0.4281356188187277
2059,59,3481,0,0.9812180407618204,0.0038211669667614,0.0037275457194534,0.0030977622446618,0.0045148633966645,0.0032382552992745,0.0003823656113636,-1.032161541147132,0.3562361087481643
2060,60,3600,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.221057394750641,0.294918157083133
