year,t,t2,covid,C0_share,C1_share,C2_share,C3_share,C4_share,C5_share,C6_share,yhat_log,yhat
2025,25,625,0,0.3426314266637136,0.1337408438366516,0.1304641001808712,0.1084216785631642,0.1580202188832607,0.1133389354746094,0.0133827963977292,2.385797589994251,10.86772719956274
2026,26,676,0,0.3328419573304647,0.1299196768698901,0.1267365544614177,0.1053239163185024,0.1535053554865961,0.1101006801753348,0.0415718593577941,2.3753621336141193,10.754907194369968
2027,27,729,0,0.3230524879972157,0.1260985099031286,0.1230090087419642,0.1022261540738405,0.1489904920899314,0.1068624248760602,0.0697609223178589,2.359877097584614,10.589649878903948
2028,28,784,0,0.3132630186639667,0.1222773429363671,0.1192814630225108,0.0991283918291787,0.1444756286932669,0.1036241695767857,0.0979499852779238,2.339342481905734,10.374412955419466
2029,29,841,0,0.3034735493307178,0.1184561759696057,0.1155539173030573,0.0960306295845169,0.1399607652966023,0.1003859142775111,0.1261390482379887,2.3137582865774786,10.11235846839081
2030,30,900,0,0.2936840799974688,0.1146350090028442,0.1118263715836039,0.092932867339855,0.1354459018999377,0.0971476589782366,0.1543281111980536,2.283124511599849,9.807275533395616
2031,31,961,0,0.2838946106642199,0.1108138420360827,0.1080988258641504,0.0898351050951932,0.1309310385032731,0.093909403678962,0.1825171741581185,2.247441156972845,9.463489244511315
2032,32,1024,0,0.2741051413309708,0.1069926750693212,0.1043712801446969,0.0867373428505314,0.1264161751066085,0.0906711483796875,0.2107062371181833,2.2067082226964665,9.085758818595242
2033,33,1089,0,0.2643156719977219,0.1031715081025598,0.1006437344252435,0.0836395806058695,0.1219013117099439,0.0874328930804129,0.2388953000782482,2.1609257087707134,8.679168323100821
2034,34,1156,0,0.2545262026644729,0.0993503411357983,0.09691618870579,0.0805418183612077,0.1173864483132793,0.0841946377811384,0.267084363038313,2.110093615195585,8.249013481491872
2035,35,1225,0,0.244736733331224,0.0955291741690368,0.0931886429863366,0.0774440561165459,0.1128715849166148,0.0809563824818638,0.295273425998378,2.054211941971083,7.80068805489481
2036,36,1296,0,0.234947263997975,0.0917080072022754,0.0894610972668831,0.074346293871884,0.1083567215199501,0.0777181271825893,0.3234624889584429,1.9932806890972057,7.339573165506622
2037,37,1369,0,0.2251577946647261,0.0878868402355139,0.0857335515474296,0.0712485316272222,0.1038418581232856,0.0744798718833147,0.3516515519185078,1.927299856573954,6.870932668137287
2038,38,1444,0,0.2153683253314771,0.0840656732687524,0.0820060058279762,0.0681507693825603,0.099326994726621,0.0712416165840402,0.3798406148785727,1.8562694444013277,6.399817308436054
2039,39,1521,0,0.2055788559982281,0.0802445063019909,0.0782784601085227,0.0650530071378985,0.0948121313299563,0.0680033612847656,0.4080296778386375,1.7801894525793265,5.930979951609436
2040,40,1600,0,0.1957893866649792,0.0764233393352295,0.0745509143890692,0.0619552448932367,0.0902972679332918,0.064765105985491,0.4362187407987024,1.699059881107951,5.468803648614039
2041,41,1681,0,0.1859999173317303,0.072602172368468,0.0708233686696158,0.0588574826485748,0.0857824045366272,0.0615268506862165,0.4644078037587673,1.612880729987201,5.017243754282962
2042,42,1764,0,0.1762104479984813,0.0687810054017065,0.0670958229501623,0.055759720403913,0.0812675411399626,0.0582885953869419,0.4925968667188322,1.5216519992170758,4.579784750054994
2043,43,1849,0,0.1664209786652323,0.064959838434945,0.0633682772307089,0.0526619581592512,0.076752677743298,0.0550503400876674,0.520785929678897,1.425373688797576,4.159411877998456
2044,44,1936,0,0.1566315093319834,0.0611386714681836,0.0596407315112554,0.0495641959145893,0.0722378143466334,0.0518120847883928,0.5489749926389619,1.3240457987287022,3.758597185141684
2045,45,2025,0,0.1468420399987344,0.0573175045014221,0.0559131857918019,0.0464664336699275,0.0677229509499688,0.0485738294891183,0.5771640555990268,1.2176683290104533,3.379299126638718
2046,46,2116,0,0.1370525706654854,0.0534963375346606,0.0521856400723484,0.0433686714252657,0.0632080875533042,0.0453355741898437,0.6053531185590917,1.1062412796428305,3.0229744976125463
2047,47,2209,0,0.1272631013322365,0.0496751705678991,0.048458094352895,0.0402709091806038,0.0586932241566396,0.0420973188905692,0.6335421815191565,0.9897646506258324,2.6906011665274447
2048,48,2304,0,0.1174736319989875,0.0458540036011377,0.0447305486334415,0.037173146935942,0.0541783607599751,0.0388590635912946,0.6617312444792215,0.8682384419594604,2.3827098727402727
2049,49,2401,0,0.1076841626657385,0.0420328366343762,0.0410030029139881,0.0340753846912801,0.0496634973633105,0.0356208082920201,0.6899203074392863,0.7416626536437136,2.0994232279408047
2050,50,2500,0,0.0978946933324896,0.0382116696676147,0.0372754571945346,0.0309776224466183,0.0451486339666459,0.0323825529927455,0.7181093703993512,0.6100372856785905,1.84050002179456
2051,51,2601,0,0.0881052239992406,0.0343905027008532,0.0335479114750811,0.0278798602019565,0.0406337705699813,0.0291442976934709,0.7462984333594161,0.4733623380640959,1.605382968961632
2052,52,2704,0,0.0783157546659916,0.0305693357340917,0.0298203657556277,0.0247820979572946,0.0361189071733167,0.0259060423941964,0.774487496319481,0.3316378108002236,1.3932481376895496
2053,53,2809,0,0.0685262853327427,0.0267481687673303,0.0260928200361742,0.0216843357126328,0.0316040437766521,0.0226677870949218,0.8026765592795458,0.1848637038869787,1.203054457306555
