year,t,t2,covid,C0_share,C1_share,C2_share,C3_share,C4_share,C5_share,C6_share,yhat_log,yhat
2025,25,625,0,0.3426314266637136,0.1337408438366516,0.1304641001808712,0.1084216785631642,0.1580202188832607,0.1133389354746094,0.0133827963977292,2.385797589994251,10.86772719956274
2026,26,676,0,0.3328419573304646,0.1299196768698901,0.1267365544614177,0.1053239163185024,0.1820767840580246,0.1101006801753348,0.0130004307863655,2.374511301384989,10.745760464425793
2027,27,729,0,0.3230524879972157,0.1260985099031286,0.1230090087419642,0.1022261540738405,0.2061333492327886,0.1068624248760602,0.0126180651750018,2.3581754331263536,10.571645171409632
2028,28,784,0,0.3132630186639667,0.1222773429363671,0.1192814630225108,0.0991283918291787,0.2301899144075526,0.1036241695767857,0.0122356995636381,2.336789985218343,10.347966067872544
2029,29,841,0,0.3034735493307178,0.1184561759696057,0.1155539173030573,0.0960306295845169,0.2542464795823166,0.1003859142775111,0.0118533339522744,2.3103549576609574,10.078001283962992
2030,30,900,0,0.2936840799974688,0.1146350090028442,0.1118263715836039,0.092932867339855,0.2783030447570805,0.0971476589782366,0.0114709683409107,2.278870350454197,9.76564242264706
2031,31,961,0,0.2838946106642199,0.1108138420360827,0.1080988258641504,0.0898351050951932,0.3023596099318446,0.093909403678962,0.011088602729547,2.242336163598063,9.415301298839418
2032,32,1024,0,0.2741051413309708,0.1069926750693212,0.1043712801446969,0.0867373428505314,0.3264161751066085,0.0906711483796875,0.0107062371181833,2.200752397092554,9.031806448528473
2033,33,1089,0,0.2643156719977219,0.1031715081025598,0.1006437344252435,0.0836395806058695,0.3504727402813725,0.0874328930804129,0.0103238715068197,2.15411905093767,8.620292794151567
2034,34,1156,0,0.2545262026644729,0.0993503411357983,0.09691618870579,0.0805418183612077,0.3745293054561364,0.0841946377811384,0.009941505895456,2.1024361251334116,8.186087975932098
2035,35,1225,0,0.2447367333312239,0.0955291741690368,0.0931886429863365,0.0774440561165458,0.3985858706309004,0.0809563824818638,0.0095591402840923,2.045703619679779,7.734598839692537
2036,36,1296,0,0.234947263997975,0.0917080072022754,0.0894610972668831,0.074346293871884,0.4226424358056643,0.0777181271825893,0.0091767746727286,1.9839215345767716,7.271201416097953
2037,37,1369,0,0.2251577946647261,0.0878868402355139,0.0857335515474296,0.0712485316272222,0.4466990009804285,0.0744798718833147,0.0087944090613649,1.9170898698243897,6.801137447088541
2038,38,1444,0,0.2153683253314771,0.0840656732687524,0.0820060058279762,0.0681507693825603,0.4707555661551924,0.0712416165840402,0.0084120434500012,1.8452086254226323,6.3294201306187805
2039,39,1521,0,0.2055788559982281,0.0802445063019909,0.0782784601085227,0.0650530071378985,0.4948121313299563,0.0680033612847656,0.0080296778386375,1.7682778013715008,5.860751287161562
2040,40,1600,0,0.1957893866649792,0.0764233393352295,0.0745509143890692,0.0619552448932367,0.5188686965047203,0.064765105985491,0.0076473122272738,1.6862973976709952,5.399451625989919
