year,t,t2,covid,C0_share,C1_share,C2_share,C3_share,C4_share,C5_share,C6_share,yhat_log,yhat
2025,25,625,0,0.3426314266637136,0.1337408438366516,0.1304641001808712,0.1084216785631642,0.1580202188832607,0.1133389354746094,0.0133827963977292,2.385797589994251,10.86772719956274
2026,26,676,0,0.3328419573304646,0.1299196768698901,0.1553079830328463,0.1053239163185024,0.153505355486596,0.1101006801753348,0.0130004307863655,2.3734036096824775,10.733864064710188
2027,27,729,0,0.3230524879972157,0.1260985099031286,0.1801518658848214,0.1022261540738405,0.1489904920899314,0.1068624248760602,0.0126180651750018,2.35596004972133,10.548250847399816
2028,28,784,0,0.3132630186639667,0.1222773429363671,0.2049957487367965,0.0991283918291787,0.1444756286932669,0.1036241695767857,0.0122356995636381,2.3334669101108076,10.313636071588505
2029,29,841,0,0.3034735493307178,0.1184561759696057,0.2298396315887716,0.0960306295845169,0.1399607652966023,0.1003859142775111,0.0118533339522744,2.3059241908509107,10.033446788542172
2030,30,900,0,0.2936840799974688,0.1146350090028442,0.2546835144407467,0.092932867339855,0.1354459018999377,0.0971476589782366,0.0114709683409107,2.273331891941639,9.711705319319789
2031,31,961,0,0.2838946106642199,0.1108138420360827,0.2795273972927218,0.0898351050951932,0.1309310385032731,0.093909403678962,0.011088602729547,2.235690013382993,9.352933275286714
2032,32,1024,0,0.2741051413309708,0.1069926750693212,0.3043712801446969,0.0867373428505314,0.1264161751066085,0.0906711483796875,0.0107062371181833,2.192998555174973,8.962046054142707
2033,33,1089,0,0.2643156719977219,0.1031715081025598,0.329215162996672,0.0836395806058695,0.1219013117099439,0.0874328930804129,0.0103238715068197,2.145257517317577,8.544241244097922
2034,34,1156,0,0.2545262026644729,0.0993503411357983,0.3540590458486471,0.0805418183612077,0.1173864483132793,0.0841946377811384,0.009941505895456,2.0924668998108067,8.104884460994299
2035,35,1225,0,0.244736733331224,0.0955291741690368,0.3789029287006223,0.0774440561165459,0.1128715849166148,0.0809563824818638,0.0095591402840923,2.0346267026546627,7.64939609318215
2036,36,1296,0,0.234947263997975,0.0917080072022754,0.4037468115525973,0.074346293871884,0.1083567215199501,0.0777181271825893,0.0091767746727286,1.9717369258491433,7.1831422446082
2037,37,1369,0,0.2251577946647261,0.0878868402355139,0.4285906944045725,0.0712485316272222,0.1038418581232856,0.0744798718833147,0.0087944090613649,1.9037975693942493,6.711332861896595
2038,38,1444,0,0.2153683253314771,0.0840656732687524,0.4534345772565477,0.0681507693825603,0.099326994726621,0.0712416165840402,0.0084120434500012,1.830808633289981,6.238929625483454
